unitid,rpp
159993,83.601
227368,85.555
106458,85.686
200280,86.195
107044,86.508
141264,86.712
174899,86.98
160658,87.01
221971,87.278
176017,87.292
176080,87.292
179964,87.681
219806,87.712
142276,87.752
219356,88.095
219471,88.095
152992,88.148
151324,88.224
207388,88.286
159647,88.345
237312,88.389
237525,88.435
206437,88.539
143358,88.617
150136,88.802
100858,88.857
220075,88.872
153126,89.056
106245,89.092
106704,89.092
179566,89.272
154235,89.274
178396,89.28
176372,89.303
176479,89.303
188030,89.348
200332,89.41
102094,89.418
207971,89.475
156125,89.481
200217,89.648
168740,89.677
171146,89.833
222178,89.849
225247,89.849
100751,89.967
140447,90.039
226091,90.238
228796,90.241
180461,90.244
155399,90.258
232557,90.284
232609,90.284
201441,90.354
206084,90.354
156541,90.468
157535,90.468
156620,90.468
157951,90.517
233277,90.657
233921,90.657
175421,90.671
175856,90.671
176053,90.671
240365,90.692
228723,90.701
100724,90.757
223232,90.786
159391,90.802
160621,90.802
145637,90.826
240727,90.848
229115,90.869
106397,90.957
207458,90.978
207500,90.978
154688,90.989
155317,90.989
482149,91.03
159656,91.146
159939,91.146
160755,91.146
105330,91.27
224147,91.306
199847,91.406
199999,91.406
152080,91.415
153603,91.418
142285,91.425
161253,91.466
487524,91.466
212601,91.516
243780,91.524
198464,91.612
196079,91.63
226471,91.761
178411,91.762
204857,91.812
202763,91.812
153658,91.83
181464,91.95
145813,92.002
152099,92.184
238032,92.275
202480,92.289
206604,92.289
228802,92.386
220862,92.427
221847,92.515
220631,92.515
181002,92.519
181394,92.519
100663,92.569
102049,92.569
232672,92.595
153269,92.659
199102,92.68
199148,92.68
198516,92.748
220552,92.773
221759,92.773
217882,92.778
221740,92.794
200800,92.827
203517,92.827
171100,92.846
230728,92.912
218663,92.925
187985,92.958
214069,92.968
216931,92.968
201645,93.045
202134,93.045
180489,93.107
157085,93.11
232423,93.218
214777,93.224
178402,93.266
139959,93.278
151351,93.372
142115,93.427
225627,93.727
227331,93.727
229027,93.727
172699,93.979
156286,94.018
157289,94.018
157447,94.102
201885,94.102
204024,94.102
204200,94.102
206622,94.102
198136,94.139
200004,94.139
198561,94.139
169910,94.184
171128,94.184
169248,94.184
233541,94.344
104179,94.346
190716,94.393
190725,94.393
196088,94.393
100706,94.397
211440,94.442
211556,94.442
212106,94.442
215293,94.442
215442,94.442
215655,94.442
204796,94.516
151111,94.578
151263,94.578
151786,94.578
230038,95.023
163338,95.12
196103,95.174
196413,95.174
170082,95.189
133650,95.28
134097,95.28
238616,95.536
239105,95.536
240453,95.536
238661,95.786
240444,95.786
127741,95.987
210775,96.019
139199,96.097
149231,96.312
178059,96.312
178420,96.312
179159,96.312
179867,96.312
230764,96.404
126818,96.618
198419,96.638
199120,96.638
139931,96.699
134130,96.895
199139,96.979
199962,96.979
199218,97.147
186876,97.17
227881,97.175
228705,97.175
228529,97.175
231624,97.36
231651,97.36
232265,97.36
232982,97.36
137564,97.374
182281,97.401
126580,97.41
126827,97.41
219709,97.43
219976,97.43
220978,97.43
221838,97.43
221892,97.43
221999,97.43
182290,97.448
213020,97.5
194824,97.583
195128,97.583
196060,97.583
228459,97.62
228778,97.62
195003,97.667
195030,97.667
195720,97.667
169798,97.968
170976,97.968
