score,percentile
1600,99
1590,99
1580,99
1570,99
1560,99
1550,99
1540,99
1530,99
1520,99
1510,99
1500,99
1490,99
1480,99
1470,99
1460,99
1450,99
1440,98
1430,98
1420,98
1410,97
1400,97
1390,97
1380,96
1370,96
1360,95
1350,94
1340,94
1330,93
1320,93
1310,92
1300,91
1290,90
1280,89
1270,88
1260,87
1250,86
1240,85
1230,84
1220,83
1210,82
1200,81
1190,80
1180,78
1170,77
1160,76
1150,74
1140,73
1130,71
1120,70
1110,69
1100,67
1090,65
1080,63
1070,61
1060,60
1050,58
1040,56
1030,54
1020,52
1010,50
1000,48
990,46
980,44
970,42
960,40
950,38
940,36
930,35
920,33
910,31
900,29
890,27
880,26
870,24
860,23
850,21
840,20
830,18
820,17
810,16
800,14
790,13
780,11
770,10
760,9
750,8
740,7
730,6
720,5
710,4
700,4
690,3
680,2
670,2
660,1
650,1
640,1
630,1
620,0
610,0
600,0
590,0
580,0
570,0
560,0
550,0
540,0
530,0
520,0
510,0
500,0
490,0
480,0
470,0
460,0
450,0
440,0
430,0
420,0
410,0
